School_id,Staff_Id,Admin_email,First_name,Last_name,Admin_title
MIWD,2273,emailaddressredacted,redacted,redacted,Cafeteria Worker
MIAM,5073,emailaddressredacted,redacted,redacted,Custodian
MICR,4993,emailaddressredacted,redacted,redacted,Custodian
MIHS,827,emailaddressredacted,redacted,redacted,Custodian
MIHS,2626,emailaddressredacted,redacted,redacted,Custodian
MIHS,4068,emailaddressredacted,redacted,redacted,Custodian
MIHS,4645,emailaddressredacted,redacted,redacted,Custodian
MIHS,4661,emailaddressredacted,redacted,redacted,Custodian
MIHS,4926,emailaddressredacted,redacted,redacted,Custodian
MIHS,5042,emailaddressredacted,redacted,redacted,Custodian
MIHS,5057,emailaddressredacted,redacted,redacted,Custodian
MIHS,5079,emailaddressredacted,redacted,redacted,Custodian
MIHS,5177,emailaddressredacted,redacted,redacted,Custodian
MIMA,2638,emailaddressredacted,redacted,redacted,Custodian
MIMA,4529,emailaddressredacted,redacted,redacted,Custodian
MIMR,4529,emailaddressredacted,redacted,redacted,Custodian
MIMR,5127,emailaddressredacted,redacted,redacted,Custodian
MIRP,4739,emailaddressredacted,redacted,redacted,Custodian
MIRP,5259,emailaddressredacted,redacted,redacted,Custodian
MIRP,5490,emailaddressredacted,redacted,redacted,Custodian
MISG,384,emailaddressredacted,redacted,redacted,Custodian
MISG,2638,emailaddressredacted,redacted,redacted,Custodian
MISG,4876,emailaddressredacted,redacted,redacted,Custodian
MISG,5251,emailaddressredacted,redacted,redacted,Custodian
MIVA,191,emailaddressredacted,redacted,redacted,Custodian
MIVA,2638,emailaddressredacted,redacted,redacted,Custodian
MIVA,4068,emailaddressredacted,redacted,redacted,Custodian
MIVA,4509,emailaddressredacted,redacted,redacted,Custodian
MIVA,4896,emailaddressredacted,redacted,redacted,Custodian
MIVA,5072,emailaddressredacted,redacted,redacted,Custodian
MIVA,5292,emailaddressredacted,redacted,redacted,Custodian
MIWD,4878,emailaddressredacted,redacted,redacted,Custodian
MI,52,emailaddressredacted,redacted,redacted,Curriculum Coordinator
MI,1625,emailaddressredacted,redacted,redacted,Curriculum Coordinator
MI,3073,emailaddressredacted,redacted,redacted,Curriculum Coordinator
MI,3685,emailaddressredacted,redacted,redacted,Curriculum Coordinator
MI,4355,emailaddressredacted,redacted,redacted,Curriculum Coordinator
MI,5019,emailaddressredacted,redacted,redacted,Curriculum Coordinator
MI,5053,emailaddressredacted,redacted,redacted,Curriculum Coordinator
MI,5211,emailaddressredacted,redacted,redacted,Curriculum Coordinator
MI,5269,emailaddressredacted,redacted,redacted,Curriculum Coordinator
MI,5155,emailaddressredacted,redacted,redacted,Media Specialist
MI,5468,emailaddressredacted,redacted,redacted,Media Specialist
MICE,5157,emailaddressredacted,redacted,redacted,Media Specialist
MICR,5157,emailaddressredacted,redacted,redacted,Media Specialist
MICR,5163,emailaddressredacted,redacted,redacted,Media Specialist
MIMA,5157,emailaddressredacted,redacted,redacted,Media Specialist
MIVA,5467,emailaddressredacted,redacted,redacted,Media Specialist
MIWD,5157,emailaddressredacted,redacted,redacted,Media Specialist
MIWD,5163,emailaddressredacted,redacted,redacted,Media Specialist
MI,1049,emailaddressredacted,redacted,redacted,Not Specified
MI,1611,emailaddressredacted,redacted,redacted,Not Specified
MI,4655,emailaddressredacted,redacted,redacted,Not Specified
MIAM,1467,emailaddressredacted,redacted,redacted,Not Specified
MIAM,990125,emailaddressredacted,redacted,redacted,Not Specified
MICE,5488,emailaddressredacted,redacted,redacted,Not Specified
MICR,170,emailaddressredacted,redacted,redacted,Not Specified
MICR,2602,emailaddressredacted,redacted,redacted,Not Specified
MICR,4980,emailaddressredacted,redacted,redacted,Not Specified
MIHS,199,emailaddressredacted,redacted,redacted,Not Specified
MIHS,266,emailaddressredacted,redacted,redacted,Not Specified
MIHS,1012,emailaddressredacted,redacted,redacted,Not Specified
MIHS,1354,emailaddressredacted,redacted,redacted,Not Specified
MIHS,2412,emailaddressredacted,redacted,redacted,Not Specified
MIHS,4136,emailaddressredacted,redacted,redacted,Not Specified
MIHS,4455,emailaddressredacted,redacted,redacted,Not Specified
MIHS,4456,emailaddressredacted,redacted,redacted,Not Specified
MIHS,4508,emailaddressredacted,redacted,redacted,Not Specified
MIHS,4564,emailaddressredacted,redacted,redacted,Not Specified
MIHS,4709,emailaddressredacted,redacted,redacted,Not Specified
MIHS,4806,emailaddressredacted,redacted,redacted,Not Specified
MIHS,4876,emailaddressredacted,redacted,redacted,Not Specified
MIHS,4982,emailaddressredacted,redacted,redacted,Not Specified
MIHS,5185,emailaddressredacted,redacted,redacted,Not Specified
MIHS,5488,emailaddressredacted,redacted,redacted,Not Specified
MIHS,9100,emailaddressredacted,redacted,redacted,Not Specified
MIHS,9101,emailaddressredacted,redacted,redacted,Not Specified
MIHS,9102,emailaddressredacted,redacted,redacted,Not Specified
MIHS,999999,emailaddressredacted,redacted,redacted,Not Specified
MIHS,WJVS,emailaddressredacted,redacted,redacted,Not Specified
MIMA,4980,emailaddressredacted,redacted,redacted,Not Specified
MIRP,1118,emailaddressredacted,redacted,redacted,Not Specified
MIVA,4644,emailaddressredacted,redacted,redacted,Not Specified
MIVA,4982,emailaddressredacted,redacted,redacted,Not Specified
MIVA,990121,emailaddressredacted,redacted,redacted,Not Specified
MIVA,990124,emailaddressredacted,redacted,redacted,Not Specified
MIWD,158,emailaddressredacted,redacted,redacted,Not Specified
MI,4252,emailaddressredacted,redacted,redacted,Nurse
MI,4901,emailaddressredacted,redacted,redacted,Nurse
MI,5052,emailaddressredacted,redacted,redacted,Nurse
MI,5175,emailaddressredacted,redacted,redacted,Nurse
MI,5480,emailaddressredacted,redacted,redacted,Nurse
MI,5531,emailaddressredacted,redacted,redacted,Nurse
MICE,4134,emailaddressredacted,redacted,redacted,Nurse
MICR,1754,emailaddressredacted,redacted,redacted,Nurse
MIMA,5165,emailaddressredacted,redacted,redacted,Nurse
MIMR,4467,emailaddressredacted,redacted,redacted,Nurse
MIRP,3748,emailaddressredacted,redacted,redacted,Nurse
MIRP,5172,emailaddressredacted,redacted,redacted,Nurse
MISG,3743,emailaddressredacted,redacted,redacted,Nurse
MIWD,4125,emailaddressredacted,redacted,redacted,Nurse
MIAM,4275,emailaddressredacted,redacted,redacted,Principal
MICE,5236,emailaddressredacted,redacted,redacted,Principal
MICR,5084,emailaddressredacted,redacted,redacted,Principal
MIHS,496,emailaddressredacted,redacted,redacted,Principal
MIMA,4664,emailaddressredacted,redacted,redacted,Principal
MIMR,678,emailaddressredacted,redacted,redacted,Principal
MIRP,1719,emailaddressredacted,redacted,redacted,Principal
MISG,5375,emailaddressredacted,redacted,redacted,Principal
MIVA,2419,emailaddressredacted,redacted,redacted,Principal
MI,1249,emailaddressredacted,redacted,redacted,Secretary
MI,3041,emailaddressredacted,redacted,redacted,Secretary
MIAM,1063,emailaddressredacted,redacted,redacted,Secretary
MIAM,5376,emailaddressredacted,redacted,redacted,Secretary
MICE,1389,emailaddressredacted,redacted,redacted,Secretary
MIHS,880,emailaddressredacted,redacted,redacted,Secretary
MIHS,2294,emailaddressredacted,redacted,redacted,Secretary
MIMA,4214,emailaddressredacted,redacted,redacted,Secretary
MIMR,1268,emailaddressredacted,redacted,redacted,Secretary
MIRP,5040,emailaddressredacted,redacted,redacted,Secretary
MISG,997,emailaddressredacted,redacted,redacted,Secretary
MIVA,378,emailaddressredacted,redacted,redacted,Secretary
MIVA,1982,emailaddressredacted,redacted,redacted,Secretary
MIWD,3950,emailaddressredacted,redacted,redacted,Secretary
MI,4103,emailaddressredacted,redacted,redacted,Secretary
MI,3918,emailaddressredacted,redacted,redacted,Nurse
